3, 4992, Note_off_c, 1, 62, 127
3, 4992, Note_off_c, 1, 56, 127
3, 4992, Note_off_c, 1, 53, 127
3, 4992, Note_on_c, 1, 62, 127
3, 4992, Note_on_c, 1, 56, 127
3, 4992, Note_on_c, 1, 52, 127
3, 5225, Note_off_c, 1, 62, 127
3, 5225, Note_off_c, 1, 56, 127
3, 5225, Note_off_c, 1, 52, 127
3, 5225, Note_on_c, 1, 62, 127
3, 5225, Note_on_c, 1, 56, 127
3, 5225, Note_on_c, 1, 52, 127
3, 5376, Note_off_c, 1, 62, 127
3, 5376, Note_off_c, 1, 56, 127
3, 5376, Note_off_c, 1, 52, 127
3, 5376, Note_on_c, 1, 62, 127
3, 5376, Note_on_c, 1, 56, 127
3, 5376, Note_on_c, 1, 52, 127
3, 5572, Note_off_c, 1, 62, 127
3, 5572, Note_off_c, 1, 56, 127
3, 5572, Note_off_c, 1, 52, 127
3, 5572, Note_on_c, 1, 62, 127
3, 5572, Note_on_c, 1, 56, 127
3, 5572, Note_on_c, 1, 52, 127
3, 5760, Note_off_c, 1, 62, 127
3, 5760, Note_off_c, 1, 56, 127
3, 5760, Note_off_c, 1, 52, 127
3, 5760, Note_on_c, 1, 62, 127
3, 5760, Note_on_c, 1, 55, 127
3, 5760, Note_on_c, 1, 52, 127
3, 5960, Note_off_c, 1, 62, 127
3, 5960, Note_off_c, 1, 55, 127
3, 5960, Note_off_c, 1, 52, 127
3, 5960, Note_on_c, 1, 62, 127
3, 5960, Note_on_c, 1, 55, 127
3, 5960, Note_on_c, 1, 52, 127
3, 6144, Note_off_c, 1, 62, 127
3, 6144, Note_off_c, 1, 55, 127
3, 6144, Note_off_c, 1, 52, 127
3, 6144, Note_on_c, 1, 61, 127
3, 6144, Note_on_c, 1, 55, 127
3, 6144, Note_on_c, 1, 52, 127
3, 6343, Note_off_c, 1, 61, 127
3, 6343, Note_off_c, 1, 55, 127
3, 6343, Note_off_c, 1, 52, 127
3, 6343, Note_on_c, 1, 61, 127
3, 6343, Note_on_c, 1, 55, 127
3, 6343, Note_on_c, 1, 52, 127
3, 6528, Note_off_c, 1, 61, 127
3, 6528, Note_off_c, 1, 55, 127
3, 6528, Note_off_c, 1, 52, 127
3, 6528, Note_on_c, 1, 60, 127
3, 6528, Note_on_c, 1, 55, 127
3, 6528, Note_on_c, 1, 52, 127
3, 6748, Note_off_c, 1, 60, 127
3, 6748, Note_off_c, 1, 55, 127
3, 6748, Note_off_c, 1, 52, 127
3, 6748, Note_on_c, 1, 60, 127
3, 6748, Note_on_c, 1, 55, 127
3, 6748, Note_on_c, 1, 52, 127
3, 6912, Note_off_c, 1, 60, 127
3, 6912, Note_off_c, 1, 55, 127
3, 6912, Note_off_c, 1, 52, 127
3, 6912, Note_on_c, 1, 60, 127
3, 6912, Note_on_c, 1, 55, 127
3, 6912, Note_on_c, 1, 52, 127
3, 7111, Note_off_c, 1, 60, 127
3, 7111, Note_off_c, 1, 55, 127
3, 7111, Note_off_c, 1, 52, 127
3, 7111, Note_on_c, 1, 60, 127
3, 7111, Note_on_c, 1, 55, 127
3, 7111, Note_on_c, 1, 52, 127
3, 7296, Note_off_c, 1, 60, 127
3, 7296, Note_off_c, 1, 55, 127
3, 7296, Note_off_c, 1, 52, 127
3, 7296, Note_on_c, 1, 60, 127
3, 7296, Note_on_c, 1, 54, 127
3, 7296, Note_on_c, 1, 52, 127
3, 7492, Note_off_c, 1, 60, 127
3, 7492, Note_off_c, 1, 54, 127
3, 7492, Note_off_c, 1, 52, 127
3, 7492, Note_on_c, 1, 60, 127
3, 7492, Note_on_c, 1, 54, 127
3, 7492, Note_on_c, 1, 52, 127
3, 7680, Note_off_c, 1, 60, 127
3, 7680, Note_off_c, 1, 54, 127
3, 7680, Note_off_c, 1, 52, 127
3, 7680, Note_on_c, 1, 60, 127
3, 7680, Note_on_c, 1, 54, 127
3, 7680, Note_on_c, 1, 52, 127
3, 7881, Note_off_c, 1, 60, 127
3, 7881, Note_off_c, 1, 54, 127
3, 7881, Note_off_c, 1, 52, 127
3, 7881, Note_on_c, 1, 60, 127
3, 7881, Note_on_c, 1, 54, 127
3, 7881, Note_on_c, 1, 52, 127
3, 8064, Note_off_c, 1, 60, 127
3, 8064, Note_off_c, 1, 54, 127
3, 8064, Note_off_c, 1, 52, 127
3, 8064, Note_on_c, 1, 60, 127
3, 8064, Note_on_c, 1, 54, 127
3, 8064, Note_on_c, 1, 52, 127
3, 8290, Note_off_c, 1, 60, 127
3, 8290, Note_off_c, 1, 54, 127
3, 8290, Note_off_c, 1, 52, 127
3, 8290, Note_on_c, 1, 60, 127
3, 8290, Note_on_c, 1, 54, 127
3, 8290, Note_on_c, 1, 52, 127
3, 8448, Note_off_c, 1, 60, 127
3, 8448, Note_off_c, 1, 54, 127
3, 8448, Note_off_c, 1, 52, 127
3, 8448, Note_on_c, 1, 60, 127
3, 8448, Note_on_c, 1, 54, 127
3, 8448, Note_on_c, 1, 52, 127
3, 8622, Note_off_c, 1, 60, 127
3, 8622, Note_off_c, 1, 54, 127
3, 8622, Note_off_c, 1, 52, 127
3, 8622, Note_on_c, 1, 60, 127
3, 8622, Note_on_c, 1, 54, 127
3, 8622, Note_on_c, 1, 52, 127
3, 8832, Note_off_c, 1, 60, 127
3, 8832, Note_off_c, 1, 54, 127
3, 8832, Note_off_c, 1, 52, 127
3, 8832, Note_on_c, 1, 60, 127
3, 8832, Note_on_c, 1, 54, 127
3, 8832, Note_on_c, 1, 51, 127
3, 9033, Note_off_c, 1, 60, 127
3, 9033, Note_off_c, 1, 54, 127
3, 9033, Note_off_c, 1, 51, 127
3, 9033, Note_on_c, 1, 60, 127
3, 9033, Note_on_c, 1, 54, 127
3, 9033, Note_on_c, 1, 51, 127
3, 9216, Note_off_c, 1, 60, 127
3, 9216, Note_off_c, 1, 54, 127
3, 9216, Note_off_c, 1, 51, 127
3, 9216, Note_on_c, 1, 60, 127
3, 9216, Note_on_c, 1, 54, 127
3, 9216, Note_on_c, 1, 51, 127
3, 9397, Note_off_c, 1, 60, 127
3, 9397, Note_off_c, 1, 54, 127
3, 9397, Note_off_c, 1, 51, 127
3, 9397, Note_on_c, 1, 60, 127
3, 9397, Note_on_c, 1, 54, 127
3, 9397, Note_on_c, 1, 51, 127
3, 9600, Note_off_c, 1, 60, 127
3, 9600, Note_off_c, 1, 54, 127
3, 9600, Note_off_c, 1, 51, 127
3, 9600, Note_on_c, 1, 60, 127
3, 9600, Note_on_c, 1, 54, 127
3, 9600, Note_on_c, 1, 50, 127
3, 9827, Note_off_c, 1, 60, 127
3, 9827, Note_off_c, 1, 54, 127
3, 9827, Note_off_c, 1, 50, 127
3, 9827, Note_on_c, 1, 60, 127
3, 9827, Note_on_c, 1, 54, 127
3, 9827, Note_on_c, 1, 50, 127
3, 9984, Note_off_c, 1, 60, 127
3, 9984, Note_off_c, 1, 54, 127
3, 9984, Note_off_c, 1, 50, 127
3, 9984, Note_on_c, 1, 60, 127
3, 9984, Note_on_c, 1, 54, 127
3, 9984, Note_on_c, 1, 50, 127
3, 10164, Note_off_c, 1, 60, 127
3, 10164, Note_off_c, 1, 54, 127
3, 10164, Note_off_c, 1, 50, 127
3, 10164, Note_on_c, 1, 60, 127
3, 10164, Note_on_c, 1, 54, 127
3, 10164, Note_on_c, 1, 50, 127
3, 10368, Note_off_c, 1, 60, 127
3, 10368, Note_off_c, 1, 54, 127
3, 10368, Note_off_c, 1, 50, 127
3, 10368, Note_on_c, 1, 60, 127
3, 10368, Note_on_c, 1, 54, 127
3, 10368, Note_on_c, 1, 50, 127
3, 10554, Note_off_c, 1, 60, 127
3, 10554, Note_off_c, 1, 54, 127
3, 10554, Note_off_c, 1, 50, 127
3, 10554, Note_on_c, 1, 60, 127
3, 10554, Note_on_c, 1, 54, 127
3, 10554, Note_on_c, 1, 50, 127
3, 10752, Note_off_c, 1, 60, 127
3, 10752, Note_off_c, 1, 54, 127
3, 10752, Note_off_c, 1, 50, 127
3, 10752, Note_on_c, 1, 60, 127
3, 10752, Note_on_c, 1, 54, 127
3, 10752, Note_on_c, 1, 50, 127
3, 10935, Note_off_c, 1, 60, 127
3, 10935, Note_off_c, 1, 54, 127
3, 10935, Note_off_c, 1, 50, 127
3, 10935, Note_on_c, 1, 60, 127
3, 10935, Note_on_c, 1, 54, 127
3, 10935, Note_on_c, 1, 50, 127
3, 11136, Note_off_c, 1, 60, 127
3, 11136, Note_off_c, 1, 54, 127
3, 11136, Note_off_c, 1, 50, 127
3, 11136, Note_on_c, 1, 60, 127
3, 11136, Note_on_c, 1, 53, 127
3, 11136, Note_on_c, 1, 50, 127
3, 11354, Note_off_c, 1, 60, 127
3, 11354, Note_off_c, 1, 53, 127
3, 11354, Note_off_c, 1, 50, 127
3, 11354, Note_on_c, 1, 60, 127
3, 11354, Note_on_c, 1, 53, 127
3, 11354, Note_on_c, 1, 50, 127
3, 11520, Note_off_c, 1, 60, 127
3, 11520, Note_off_c, 1, 53, 127
3, 11520, Note_off_c, 1, 50, 127
3, 11520, Note_on_c, 1, 60, 127
3, 11520, Note_on_c, 1, 53, 127
3, 11520, Note_on_c, 1, 50, 127
3, 11712, Note_off_c, 1, 60, 127
3, 11712, Note_off_c, 1, 53, 127
3, 11712, Note_off_c, 1, 50, 127
3, 11712, Note_on_c, 1, 60, 127
3, 11712, Note_on_c, 1, 53, 127
3, 11712, Note_on_c, 1, 50, 127
3, 11904, Note_off_c, 1, 60, 127
3, 11904, Note_off_c, 1, 53, 127
3, 11904, Note_off_c, 1, 50, 127
3, 11904, Note_on_c, 1, 59, 127
3, 11904, Note_on_c, 1, 53, 127
3, 11904, Note_on_c, 1, 50, 127
3, 12107, Note_off_c, 1, 59, 127
3, 12107, Note_off_c, 1, 53, 127
3, 12107, Note_off_c, 1, 50, 127
3, 12107, Note_on_c, 1, 59, 127
